011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
021113125,"THE GREENWICH BANK & TRUST CO.;BLDG 2;FAIRFIELD, CT 06824-0000"
021113196,"FAIRFIELD COUNTY BANK CORP;94 DANBURY RD;RIDGEFIELD, CT 06877-0000"
021113206,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021113251,"WESTPORT NATIONAL BANK;BLDG 2;FAIRFIELD, CT 06824-0000"
021113581,"THE COMMUNITY'S BANK;OPERATIONS DEPARTMENT;BRIDGEPORT, CT 06604-0000"
021113662,"THE BANK OF NEW CANAAN;208 ELM STREET;NEW CANAAN, CT 06840-0000"
021114111,"DARIEN ROWAYTON BANK;1001 POST RD;DARIEN, CT 06820-0000"
021114153,"THE FIRST BANK OF GREENWICH;444 EAST PUTNAM AVE;COSCOB, CT 06807-0000"
021114205,"JP MORGAN CHASE BANK;THIRD FLOOR;TAMPA, FL 33610-0000"
021114263,"HSBC NATIONAL BANK USA;7 LANDMARK SQUARE;STAMFORD, CT 06901-0000"
021114483,"THE BANK OF FAIRFIELD;2150 POST ROAD;FAIRFIELD, CT 06824-0000"
021114771,"THE BANK OF NEW CANAAN;208 ELM STREET;NEW CANAAN, CT 06840-0000"
021114784,"THE BANK OF FAIRFIELD;2150 POST ROAD;FAIRFIELD, CT 06824-0000"
021172661,"NEW YORK COMMUNTY BANK;1601 VETERANS HWY;ISLANDIA, NY 11749-0000"
021172768,"NEWTOWN SAVINGS BANK;39 MAIN STREET;NEWTOWN, CT 06470-0000"
021172784,"FIELDPOINT PRIVATE BANK & TRUST;100 FIELD POINT ROAD;GREENWICH, CT 06830-0000"
021200012,"PNC BANK NEWARK;P7-PFSC-03-H;PITTSBURGH, PA 15219-0000"
021200025,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021200096,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021200339,"BANK OF AMERICA N.A.;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
021200407,"CAPITAL ONE, N.A.;PO BOX 85139;RICHMOND, VA 23238-0000"
021200559,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021200575,"PNC BANK N.A.;P7-PFSC-03-H;PITTSBURGH, PA 15219-0000"
021200957,"TD BANK, NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021200986,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021201011,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021201383,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07470-0000"
021201503,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021201600,"VALLEY NATIONAL BANK;1460 VALLEY ROAD;WAYNE, NJ 07470-0000"
021201639,"CITY NATIONAL BANK OF N.J.;900 BROAD STREET;NEWARK, NJ 07102-0000"
021201943,"PNC BANK;500 FIRST AVENUE;PITTSBURGH, PA 15219-0000"
021202162,"BANK OF AMERICA N.A;VA2-430-01-01;RICHMOND, VA 23261-7025"
021202175,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021202191,"PNC BANK;500 FIRST AVENUE;PITTSBURGH, PA 15219-0000"
021202311,"PNC BANK N.A.;P7-PFSC-03-H;PITTSBURGH, PA 15219-0000"
021202337,"JPMORGAN CHASE;3RD FLOOR;TAMPA, FL 33610-0000"
021202447,"PNC BANK N.A.;P7-PFSC-03-H;PITTSBURGH, PA 15219-0000"
021202609,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021202719,"JP MORGAN CHASE BANK, N.A.;THIRD FLOOR;TAMPA, FL 33610-0000"
021202968,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021203310,"LAKELAND BANK;250 OAK RIDGE ROAD;OAK RIDGE, NJ 07436-0000"
021203349,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021203501,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021203682,"VALLEY NATL BANK;1460 VALLEY ROAD;WAYNE, NJ 07470-0000"
021203792,"LAKELAND BANK;250 OAK RIDGE RD;OAK RIDGE, NJ 07438-0000"
021204403,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07470-0000"
021204416,"AMBOY BANK;3590 U.S. HIGHWAY 9;OLD BRIDGE, NJ 08857-0000"
021204597,"FIRST HOPE BANK;201 ROUTE 94;COLUMBIA, NJ 07825-0000"
021204652,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021205017,"BANK OF AMERICA;1400 BEST PLAZA DR;RICHMOND, VA 23227-0000"
021205237,"PEAPACK-GLADSTONE BANK;2 CROSSROADS DRIVE;BEDMINSTER, NJ 07921-0000"
021205253,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07470-0000"
021205376,"LAKELAND BANK;250 OAK RIDGE ROAD;OAK RIDGE, NJ 07438-8906"
021205499,"THE PROVIDENT BANK;830 BERGEN AVENUE;JERSEY CITY, NJ 07306-0000"
021205648,"UNION CENTER NATIONAL BANK;2003 MORRIS AVE.;UNION, NJ 07083-0000"
021205871,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021206074,"SOVEREIGN BANK;601 PENN ST.;READING, PA 19601-0000"
021206249,"SUSSEX BANK;200 MUNSONHURST ROAD;FRANKLIN, NJ 07416-0353"
021206278,"AMBOY BANK;3590 US HIGHWAY 9;OLD BRIDGE, NJ 08857-0000"
021206537,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07450-0000"
021206566,"VALLEY NATIONAL BANK;1460 VALLEY ROAD;WAYNE, NJ 07470-0000"
021206582,"ATLANTIC STEWARDSHIP BANK;630 GODWIN AVENUE;MIDLAND PK, NJ 07432-0000"
021206676,"SOVEREIGN BANK;1125 BERSHIRE BOULEVARD;WYOMISSING, PA 19610-0000"
021206715,"VALLEY NATIONAL BANK;1460 VALLEY ROAD;WAYNE, NJ 07470-0000"
021206948,"BRUNSWICK BK & TR. CO.;439 LIVINGSTON AVENUE;NEW BRUNSWICK, NJ 08901-0000"
021206993,"VALLEY NATIONAL BANK;1460 VALLEY ROAD;WAYNE, NJ 07470-0000"
021207002,"SOVEREIGN BANK;MS:10-411-AH1;WYOMISSING, PA 19610-0000"
021207028,"SOVEREIGN BANK;MS:10-411-AH1;WYOMISSING, PA 19610-0000"
021207031,"BANK OF AMERICA;1400 BEST PLAZA DR;RICHMOND, VA 23227-0000"
021207044,"VALLEY NATIONAL BANK;1460 VALLEY ROAD;WAYNE, NJ 07470-0000"
021207057,"LAKELAND BANK;250 OAK RIDGE ROAD;OAK RIDGE, NJ 07438-8906"
021207112,"NEW YORK COMMUNITY BANK;615 MERRICK AVENUE;WEATBURY, NY 11590-0000"
021207138,"TD BANK, NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021207154,"1ST CONSTITUTION BANK;2650 ROUTE # 130;CRANBURY, NJ 08512-0000"
021207167,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021207196,"COMMUNITY BANK OF BERGEN COUNTY;18 RAILROAD AVE. 2ND FL.;ROCHELLE PARK, NJ 07662-0000"
021207206,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021207235,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07450-0000"
021207280,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07470-0000"
021207358,"SOVEREIGN BANK;MC:10-411-AH1;WYOMISSING, PA 19610-0000"
021207413,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021209990,"FULTON BANK OF NEW JERSEY;450 BRIDGETON PIKE;MANTUA, NJ 08051-0000"
021210002,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07470-0000"
021210044,"SKYLANDS COMMUNITY BANK;450 BRIDGETON PIKE;MANTUA, NJ 08051-0000"
021210057,"UNITY BANK;ATT: DEPOSIT SERVICES;CLINTON, NJ 08809-0000"
021210073,"WOORI AMERICA BANK;16TH FLOOR;BAYSIDE, NY 10001-0000"
021210112,"CROWN BANK;339 NORTH BROAD STREET;ELIZABETH, NJ 07208-0000"
021213041,"LAKELAND BANK;250 OAK RIDGE ROAD;OAK RIDGE, NJ 07438-0000"
021213054,"KEARNY FEDERAL SAVINGS BANK;120 PASSAIC AVENUE;FAIRFIELD, NJ 07004-0000"
021213096,"CATHAY BANK;RS-14;ROSEMEAD, CA 91770-0000"
021213177,"NEW YORK COMMUNITY BANK;1601 VETERANS HWY;ISLANDIA, NY 11749-0000"
021213180,"KEARNY FEDERAL SAVINGS BANK;120 PASSAIC AVENUE;FAIRFIELD, NJ 07004-0000"
021213216,"THE TOWN BANK;SUITE 3A;EATONTOWN, NJ 07724-0000"
021213232,"SOMERSET HILLS BANK;155 MORRISTOWN ROAD;BERNARDSVILLE, NJ 07924-0000"
021213300,"UNION CENTER NATIONAL BANK;2003 MORRIS AVE;UNION, NJ 07083-0000"
021213313,"GRAND BANK, NA.;2297 HIGHWAY 33;HAMILTON, NJ 08690-0000"
021213339,"VALLEY NATIONAL BANK;1460 VALLEY RD;WAYNE, NJ 07470-0000"
021213371,"NEW MILLENNIUM BANK;57 LIVINGSTON AVENUE;NEW BRUNSWICK, NJ 08901-0000"
021213397,"PROVIDENT BANK;400 RELLA BOULEVARD;MONTEBELLO, NY 10901-0000"
021213410,"HILLTOP COMMUNITY BANK;180 SOUTH STREET;NEW PROVIDENCE, NJ 07974-0000"
021213449,"INVESTORS BANK;101 JFK PARKWAY;SHORT HILLS, NJ 07078-0000"
021213465,"TWO RIVER COMMUNITY BANK;SUITE 3A;EATONTOWN, NJ 07724-0000"
021213481,"ALLEGIANCE COMMUNITY BANK;200 VALLEY STREET;SOUTH ORANGE, NJ 07079-0000"
021213494,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021213504,"RUMSON-FAIR HAVEN BANK & TRUST CO.;636 RIVER ROAD;FAIR HAVEN, NJ 07704-0000"
021213520,"BAYONNE COMMUNITY BANK;860 BROADWAY;BAYONNE, NJ 07002-0000"
021213559,"MARINER'S BANK;935 RIVER ROAD;EDGEWATER, NJ 07020-0000"
021213591,"METLIFE BANK, N.A.(METLIFE DIVISION);1 CROSSROADS DRIVE;BEDMINSTER, NJ 07921-0000"
021213698,"PASCACK COMMUNITY BANK;21 JEFFERSON AVENUE;WESTWOOD, NJ 07675-0000"
021213711,"ENTERPRISE BANK;490 KENILWORTH BLVD;KENILWORTH, NJ 07033-0000"
021213892,"NORTH JERSEY COMMUNITY BANK;180 SYLVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
021213902,"NEW MILLENNIUM BANK;57 LIVINGSTON AVENUE;NEW BRUNSWICK, NJ 08901-0000"
021213944,"NORTH JERSEY COMMUNITY BANK;301 SYLVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
021213986,"NOBLE COMMUNITY BANK;351 SPARTA AVE;SPARTA, NJ 07871-0000"
021214053,"TEAM CAPITAL BANK;2151 EMRICK BOULEVARD;BETHLEHEM, PA 18020-0000"
021214066,"INDUS AMERICAN BANK;1536 OAK TREE ROAD;ISELIN, NJ 08830-0000"
021214082,"FIRST COMMERCE BANK;PO BOX 39;CLOSTER, NJ 07624-0000"
021214095,"HIGHLANDS STATE BANK;310 ROUTE 94;VERNON, NJ 07462-0160"
021214105,"FIRST STATE BANK;16 COMMERCE DRIVE;CRANFORD, NJ 07016-0000"
021214163,"HERITAGE COMMUNITY BANK;1206 SUSSEX TURNPIKE;RANDOLPH, NJ 07869-0000"
021214189,"BANK OF NEW JERSEY;204 MAIN ST;FORT LEE, NJ 07024-0000"
021214273,"CROSS RIVER BANK;885 TEANECK ROAD;TEANECK, NJ 07666-0000"
021214299,"HERITAGE COMMUNITY BANK;1206 SUSSEX TURNPIKE;RANDOLPH, NJ 07869-0000"
021214312,"PEAPACK-GLADSTONE BANK;BUILDING B;BEDMINSTER, NJ 07921-0000"
021214325,"BANKASIANA;7 BROAD AVENUE;PALISADES PARK, NJ 07650-0000"
021214396,"SUSSEXBANK;200 MUNSONHURST RD;FRANKLIN, NJ 07416-0000"
021214435,"REGAL BANK;SUITE 107;LIVINGSTON, NJ 07039-0000"
021214477,"BANKASIANA;7 BROAD AVENUE;PALISADES PARK, NJ 07650-0000"
021214493,"FREEDOM BANK;550 KINDERKAMACK ROAD;ORADELL, NJ 07649-0000"
021214529,"NEW JERSEY COMMUNITY BANK;PO BOX 6609;FREEHOLD, NJ 07728-0000"
021214574,"COMMUNITY FIRST BANK;408 ELIZABETH AVE;SOMERSET, NJ 08873-0000"
021214749,"FIRST HOPE BANK, NA;201 ROUTE 94;COLUMBIA, NJ 07825-0000"
021272626,"BANCO POPULAR, NORTH AMERICA;9600 W. BRYN MAWR;ROSEMONT, IL 60018-0000"
021272655,"CITIBANK NA;ONE PENN'S WAY;NEW CASTLE, DE 19720-0000"
021272707,"FORT LEE FEDERAL SAVINGS BANK, FSB;817 ABBOTT BOULEVARD;FORT LEE, NJ 07024-0000"
021272723,"JPMORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
021272736,"LEHMAN BROTHERS BANK, FSB;SUITE 200;WILMINGTON, DE 19801-0000"
021272749,"SADDLE RIVER VALLEY BANK;171 EAST SADDLE RIVER ROAD;SADDLE RIVER, NJ 07458-0000"
021272794,"ROMASIA BANK;4287 US HIGHWAY 1;MONMOUTH JUNCTION, NJ 08852-0000"
021283547,"AFFINITY FEDERAL CREDIT UNION;73 MOUNTAIN VIEW BOULEVARD;BASKING RIDGE, NJ 07920-0000"
021283615,"HMC (NJ) FEDERAL CREDIT UNION;2100 WESCOTT DRIVE;FLEMINGTON, NJ 08822-0000"
021283631,"PORT IVORY FEDERAL C.U.;SUITE #1;AVENEL, NJ 07001-0000"
021283673,"NORTH JERSEY FEDERAL CREDIT UNION;P.O BOX 379;TOTOWA, NJ 07511-0379"
021283738,"NESTLE (FREEHOLD) FCU;61 JERSEYVILLE AVENUE;FREEHOLD,, NJ 07728-0000"
021283767,"RENAISSANCE COMMUNITY DEV. CU;PO BOX 328;SOMERSET, NJ 08875-0000"
021283770,"ATLANTIC HEALTH FCU;99 BEAUVIOR AVENUE;SUMMIT, NJ 07902-0000"
021283851,"PINNACLE FCU;135 RARITAN CENTER PARKWAY;EDISON, NJ 08837-0000"
021283916,"1ST BERGEN FEDERAL CREDIT UNION;241 MOORE STREET;HACKENSACK, NJ 07601-0000"
021283929,"BAYONNE HOSPITAL EMPLOYEES FCU;29 EAST 29TH STREET;BAYONNE, NJ 07002-0000"
021300019,"BANK OF AMERICA N.A;VA2-430-01-01;RICHMOND, VA 23227-0000"
021300077,"KEY BANK NATIONAL ASSOCIATION;4910 TIEDEMAN ROAD;BROOKLYN, OH 44144-0000"
021300336,"M & T BANK;2ND FLOOR;AMHERST, NY 14228-0000"
021300381,"KEY BANK NATIONAL ASSOCIATION;4910 TIEDEMAN ROAD;BROOKLYN, OH 44144-0000"
021300420,"HSBC BANK, USA;PO BOX 643;BUFFALO, NY 14240-0000"
021300462,"JPMORGAN CHASE BANK;3RD FLOOR;TAMPA, FL 33610-0000"
021300556,"KEY BANK NATIONAL ASSOCIATION;4910 TIEDEMAN ROAD;BROOKLYN, OH 44144-0000"
021300640,"HSBC BANK USA;ONE HSBC CTR - EAST PLAZA;BUFFALO, NY 14203-0000"
021300776,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021300912,"TRUSTCO BANK;320 STATE STREET;SCHENECTADY, NY 12305-0000"
021301089,"HSBC BANK, USA;PO BOX 643;BUFFALO, NY 14240-0000"
021301115,"CHEMUNG CANAL TRUST CO;ONE CHEMUNG CANAL PLAZA;ELMIRA, NY 14902-0000"
021301678,"HSBC BANK, USA;PO BOX 643;BUFFALO, NY 14240-0000"
021301869,"HSBC BANK, USA;EAST PLAZA;BUFFALO, NY 14203-0000"
021302130,"NBT BANK NA;52 SOUTH BROAD STREET;NORWICH, NY 13815-0000"
021302143,"NBT BANK;52 SOUTH BROAD STREET;NORWICH, NY 13815-0351"
021302554,"GLENS FALLS NATL BK&TR CO;250 GLEN ST;GLENS FALLS, NY 12801-0000"
021302567,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021302622,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021302648,"TOMPKINS TRUST COMPANY;PO BOX 460;ITHACA, NY 14850-0000"
021302884,"THE ADIRONDACK TRUST COMPANY;31 CHURCH STREET;SARATOGA SPRINGS, NY 12866-0000"
021302978,"M & T BANK;SECOND FLOOR;AMHERST, NY 14228-0000"
021303139,"ALLIANCE BANK, N.A.;160 MAIN STREET;ONEIDA, NY 13421-0000"
021303472,"COMMUNITY BANK, NA;1 TALLMAN RD;CANTON, NY 13617-0000"
021303511,"ALLIANCE BANK, N.A.;160 MAIN STREET;ONEIDA, NY 13421-0000"
021303618,"NBT BANK NA;52 SOUTH BROAD STREET;NORWICH, NY 13815-0000"
021304675,"BALLSTON SPA NATIONAL BANK;39 BATH ST.;BALLSTON SPA, NY 12020-0000"
021305386,"COMMUNITY BANK, NA;1 TALLMAN RD;CANTON, NY 13617-0000"
021305577,"NBT BANK, NATIONAL ASSOCIATION;52 SOUTH BROAD STREET;NORWICH, NY 13815-0000"
021305991,"FIRST NATL BK OF GROTON;161 MAIN STREET;GROTON, NY 13073-1131"
021306547,"CAYUGA LAKE NATL BK;3 N CAYUGA ST;UNION SPRINGS, NY 13160-0000"
021306822,"HSBC BANK, USA;PO BOX 643;BUFFALO, NY 14240-0000"
021306974,"NBT BANK NA;52 SOUTH BROAD ST;NORWICH, NY 13815-0000"
021307054,"NATIONAL BANK OF COXSACKIE;3-7 REED ST. P.O.BOX 400;COXSACKIE, NY 12051-0000"
021307096,"DELAWARE NATL BK OF DELHI;PO BOX 508;DELHI, NY 13753-0508"
021307164,"FIRST NATL BK OF DRYDEN;7 WEST MAIN STREET;DRYDEN, NY 13053-0000"
021307520,"NBT BANK NA;52 SOUTH BROAD ST;NORWICH, NY 13815-0000"
021307559,"COMMUNITY BANK N.A.;1 TALLMAN RD;CANTON, NY 13617-0000"
021307708,"TD BANK NA;PO BOX 1377;LEWISTON, ME 04240-1377"
021307711,"NATL UNION BANK OF KINDERHOOK;1 HUDSON STREET;KINDERHOOK, NY 12106-0000"
021307740,"NBT BANK NA;52 SOUTH BROAD ST;NORWICH, NY 13815-0000"
021308176,"CITIBANK NYS;111 SYLVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
021308396,"BANK OF RICHMONDVILLE;PO BOX 40;COBLESKILL, NY 12043-0000"
021308642,"TIOGA STATE BANK;PO BOX 386;SPENCER, NY 14883-0000"
021308671,"THE N/B OF DELAWARE WALTON;131 DELAWARE ST;WALTON, NY 13856-0000"
021308781,"COMMUNITY BANK, N.A.;1 TALLMAN RD;CANTON, NY 13617-0000"
021308817,"ONEIDA SAVINGS BANK;182 MAIN STREET;ONEIDA, NY 13421-0000"
021308833,"THE N/B OF DELAWARE WALTON;131 DELAWARE ST.;WALTON, NY 13856-0000"
021309201,"CITIZENS NATIONAL BANK OF HAMMOND;PO BOX 187;HAMMOND, NY 13646-0000"
021309285,"WSB MUNICIPAL BANK;PO BOX 250;WATERTOWN, NY 13601-0000"
021309379,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
021309434,"JPMORGAN CHASE BANK;3RD FLOOR;TAMPA, FL 33610-0000"
021309638,"NBT BANK, N.A.;52 SOUTH BROAD ST.;NORWICH, NY 13815-0000"
021309735,"SOLVAY BANK;1537 MILTON AVENUE;SOLVAY, NY 13209-0000"
021309997,"CITIZENS BANK OF CAPE VINCENT;PO BOX 277 BROADWAY;CAPE VINCENT, NY 13618-0000"
021310326,"COMMUNITY BANK, N.A.;1 TALLMAN RD;CANTON, NY 13617-0000"
021310407,"CHAMPLAIN NATIONAL BANK;3900 NYS ROUTE 22;WILLSBORO, NY 12996-0000"
021310465,"THE UPSTATE NATIONAL BANK;1 W MAIN ST;ROCHESTER, NY 14614-0000"
021310591,"STATE BANK OF CHITTENANGO;182 MAIN STREET;ONEIDA, NY 13421-0000"
021310711,"FIRST NATL BANK OF SCOTIA;201 MOHAWK AVE;SCOTIA, NY 12302-2128"
021311383,"BANK OF UTICA;222 GENESEE STREET;UTICA, NY 13502-4385"
021311529,"SARATOGA NATL BANK & TRUST COMPANY;250 GLEN STREET;GLENSFALLS, NY 12801-0000"
021312971,"CHEMUNG CANAL TRUST CO;ONE CHEMUNG CANAL PLAZA;ELMIRA, NY 14902-0000"
021313103,"RBS CITIZENS, NATIONAL ASSOCIATION;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
021313569,"FIRST NIAGARA BANK;6950 SOUTH TRANSIT;LOCKPORT, NY 14094-0000"
021313734,"PATHFINDER COMMERCIAL BANK;214 W 1ST STREET;OSWEGO, NY 13126-0000"
021313747,"FIRST NIAGARA BANK;6950 SOUTH TRANSIT ROAD;LOCKPORT, NY 14094-0000"
021313886,"GREENE COUNTY COMMERCIAL BANK;302 MAIN STREET;CATSKILL, NY 12414-0000"
021313925,"PIONEER COMMERCIAL BANK;21 SECOND STREET;TROY, NY 12180-0000"
021314306,"TIOGA STATE BANK;PO BOX 386;SPENCER, NY 14883-0000"
021314416,"CHAMPLAIN NATIONAL BANK;PO BOX 130;WILLSBORO, NY 12996-0000"
021314814,"CAYUGA LAKE NATIONAL BANK;PO BOX 512;UNION SPRINGS, NY 13160-0000"
021372940,"RBS CITIZENS, NA;1 CITIZENS DRIVE;RIVERSIDE, RI 02915-0000"
021373059,"PATRIOT FEDERAL BANK;211 ERIE BOULEVARD;CANAJOHARIE, NY 13317-0000"
021382642,"STEWART'S FEDERAL CREDIT UNION;2911 STATE ROUTE 9;BALLSTON SPA, NY 12020-0000"
021382655,"OSWEGO COUNTY PUBLIC F.C.U.;175 E. 7TH STREET/PO BOX 310;OSWEGO, NY 13126-0000"
021383463,"UHS EMPLOYEES FCU;33-57 HARRISON STREET;JOHNSON CITY, NY 13790-0000"
021383528,"CROUSE FCU;730 S. CROUSE AVE;SYRACUSE, NY 13210-0000"
021383586,"BHA RESIDENTS COMMUNITY DEV'T F.C.U.;45 EXCHANGE ST;BINGHAMTON, NY 13901-0000"
021383751,"RPI EMPLOYEES FEDERAL CREDIT UNION;ROOM 313 WEST HALL;TROY, NY 12180-0000"
021384200,"CVPH EMPLOYEES FCU;75 BEEKMAN STREET;PLATTSBURGH, NY 12901-0000"
021384239,"DIRECTORS CHOICE CU;426 NEW KARNER ROAD;ALBANY, NY 12205-0000"
021384365,"FASNY FCU;107 WASHINGTON AVENUE;ALBANY, NY 12210-0000"
021384572,"SEFCU;700 PATROON CREEK BLVD;ALBANY, NY 12206-0000"
021401617,"STATE BANK LONG ISLAND;222 OLD COUNTRY RD;MINEOLA, NY 11501-0000"
021404465,"BANK OF AMERICA, N.A.;VA2-430-01-01;RICHMOND, VA 23261-7025"
021405464,"SUFFOLK COUNTY N/B;PO BOX 9000;RIVERHEAD, NY 11901-0000"
021406667,"BRIDGEHAMPTON NATIONAL BANK;PO BOX 3005;BRIDGEHAMPTON, NY 11932-0000"
021407912,"CAPITAL ONE, N.A.;PO BOX 85139;RICHMOND, VA 23238-0000"
021408597,"BANK OF SMITHTOWN;850 MAIN STREET;BRIDGEPORT, CT 06604-0000"
021408704,"CAPITAL ONE, N.A.;PO BOX 85139;RICHMOND, VA 23238-0000"
021409169,"JP MORGAN CHASE BANK;3RD FLOOR;TAMPA, FL 33610-0000"
021409567,"CAPITAL ONE, N.A.;PO BOX 85139;RICHMOND, VA 23238-0000"
021410080,"HSBC BANK, USA;14TH FLOOR;BUFFALO, NY 14203-0000"
021410637,"JP MORGAN CHASE BANK, N.A.;THIRD FLOOR;TAMPA, FL 33610-0000"
021410695,"CAPITAL ONE, N.A.;PO BOX 85139;RICHMOND, VA 23238-0000"
021411089,"BANK OF AMERICA;1400 BEST PLAZA DR;RICHMOND, VA 22322-0000"
021411335,"FIRST NATIONAL BANK OF LI;30 GLEN HEAD ROAD;GLEN HEAD, NY 11545-1411"
021412114,"NEW YORK COMMERCIAL BANK;1601 VETERANS MEMORIAL HIGHWAY;ISLANDIA, NY 11749-0000"
021413155,"BRIDGEHAMPTON NATIONAL BANK;PO BOX 3005;BRIDGEHAMPTON, NY 11932-0000"
021413388,"AMERICAN COMMUNITY BANK;300 GLEN STREET;GLEN COVE, NY 11542-0000"
021413935,"COMMUNITY NATIONAL BANK;200 MIDDLE NECK ROAD;GREAT NECK, NY 11021-0000"
021414125,"FIRST TRADE UNION;5TH FLOOR;BOSTON, MA 02210-0000"
021414280,"MADISON NATIONAL BANK;538 BROADHOLLOW ROAD, SUITE 301;MELVILLE, NY 11747-0000"
021414345,"FLUSHING COMMERCIAL BANK;661 HILLSIDE AVE;NEW HYDE PARK, NY 11040-0000"
021414426,"EMPIRE NATIONAL BANK;SUITE 8;ISLANDIA, NY 11749-0000"
021414455,"GOLD COAST BANK;2929 EXPRESSWAY DRIVE NORTH;ISLANDIA, NY 11749-0000"
021414468,"HANOVER COMMUNITY BANK;2131 JERICHO TPKE;GARDEN CITY PARK, NY 11040-0000"
021414617,"EMPIRE NATIONAL BANK;SUITE 8;ISLANDIA, NY 11749-0000"
021414675,"HANOVER COMMUNITY BANK;2131 JERICHO TURNPIKE;GARDEN CITY PARK, NY 11040-0000"
021473027,"WELLS FARGO BANK;MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
021473030,"QUONTIC BANK;3 GRACE AVENUE;GREAT NECK, NY 11021-0000"
021483282,"PEOPLE'S ALLIANCE FCU;125 WIRELESS BLVD;HAUPPAUGE, NY 11788-0000"
021483428,"THE HEART CENTER FCU;100 PORT WASHINGTON BLVD.;ROSLYN, NY 11576-0000"
021484524,"AMERICAN BROADCAST EMPLOYEES FCU;7-11 FRONT STREET;ROCKVILLE CENTRE, NY 11570-0000"
021502011,"BANCO POPULAR;ATTN: DEPT. 638;SAN JUAN, PR 00936-2708"
021502037,"THE BANK OF NOVA SCOTIA;273 PONCE DE LEON AVE;HATO REY, PR 00918-0000"
021502040,"CITIBANK, PUERTO RICO;SUITE 600;SAN JUAN, PR 00918-4106"
021502095,"BANCO POPULAR DE PUERTO RICO;BUSINESS BANKING DIVISION (709);SAN JUAN, PR 00926-0000"
021502105,"BANCO POPULAR NATIONAL ASSOCIATION;#10 PEDRO MARQUEZ STREET;CULEBRA, PR 00775-0000"
021502118,"GOVT DEVELOPMENT BANK FOR P.R.;ROBERTO SANCHEZ VILELLA CENTER;SANTURCE, PR 00907-1089"
021502134,"SANTANDER OVERSEAS BANK, INC.;10TH FLOOR;SAN JUAN, PR 00917-0000"
021502228,"BANCO BILBAO VIZCAYA ARGENTARIA PR;174 CENTRO INDUSTRIAL MINILLAS;BAYAMON, PR 00959-0000"
021502273,"SCOTIABANK DE PUERTO RICO;273 PONCE DE LEON AVE;HATO REY, PR 00918-0000"
021502341,"BANCO SANTANDER DE PUERTO RICO;ARTERIAL HOSTOS AVE. C2-#1;HATO REY, PR 00918-0000"
021502383,"BANCO COOPERATIVO DE PUERTO RICO;AVE. PONCE DE LEON #623;HATO REY, PR 00917-0000"
